번호,인허가일자,영업상태명,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명
126,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(3관)
127,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(4관)
128,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(5관)
129,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(6관)
130,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 1관
131,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 2관
132,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 3관
133,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 4관
134,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 5관
135,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 6관
136,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 7관
137,2015-07-28,영업/정상,,충청남도 서산시 동문동 1029-1,충청남도 서산시 안견로 242 (동문동),31983,CGV서산 8관
138,2015-12-17,영업/정상,,충청남도 서산시 동문동 193-1번지,충청남도 서산시 율지18로 38 (동문동),31993,롯데시네마 서산관 (7관)
139,2003-09-08,폐업,320-070,충청남도 논산시 반월동 68-19,충청남도 논산시 해월로167번길 8 (반월동),,논산시네마5(3관)
140,2003-09-08,폐업,320-070,충청남도 논산시 반월동 68-19,충청남도 논산시 해월로167번길 8 (반월동),,논산시네마5(4관)
