현황도형 관리번호,라벨명,면적_도형,길이_도형
44130UQ155PS202106210014,기타체육시설,45662.95695,890.0168504
44130UQ155PS198706120085,고등학교,116083.6015,2236.562349
44130UQ155PS202503280064,유치원,4000.45218,252.9990477
44130UQ155PS202503280065,초등학교,15015.48171,490.5458243
44130UQ155PS202503280066,중학교,15899.94054,501.6437544
44130UQ155PS202502210031,초등학교,14912.17606,492.4269199
44130UQ155PS198706120086,고등학교,35652.86041,814.9476464
44130UQ155PS201211010003,대학,5724.658992,364.347448
44130UQ155PS202505010077,초등학교,16070.30396,505.0994633
44130UQ155PS202505010078,유치원,4016.945742,266.8101252
44130UQ155PS202305010056,청사(국가),1536.330869,156.9222468
44130UQ155PS200101180238,초등학교,14690.78,575
44130UQ155PS200101180243,초등학교,15864.93,508.61
44130UQ155PS200101180241,특수학교,22036.86,649.92
44130UQ155PS199602220001,대학,404785.45,3964.56
44130UQ155PS197706290001,대학,630544.7423,6464.306315
44130UQ155PS199303060027,초등학교,20090.48669,551.13948
44130UQ155PS199303060028,중학교,19597.8575,580.3295664
44130UQ155PS202107120014,청사(국가),2601.743453,197.970209
44130UQ155PS201908010020,청사(국가),17827.0015,581.2160696
44130UQ155PS200101020107,대학,386843.5104,4635.889327
44130UQ155PS200101180242,고등학교,53147.67726,941.4427586
44130UQ155PS200101180244,초등학교,18852.23322,546.962931
44130UQ155PS198706120076,초등학교,20630.37673,608.6978561
44130UQ155PS199309030001,중학교,19659.21985,584.9553366
44130UQ155PS201512010438,청사(국가),2050.020917,193.7253407
44130UQ155PS202106010115,청사(국가),1359.973326,161.6911516
44130UQ155PS201510120134,중학교,14477.67,477.89
44130UQ155PS201510120133,유치원,3278.59,230.5
44130UQ155PS200101180254,초등학교,13688.42,484.29
44130UQ155PS200812010909,기타연구시설,264662.88,2213
44130UQ155PS200301080001,기타체육시설,915933.95,3984.27
44130UQ155PS200812010914,기타사회복지시설,30397.85,1188.5
44130UQ155PS199205220014,초등학교,22358.65,588
44130UQ155PS200812010837,고등학교,34714.78,1004.88
44130UQ155PS200812010838,초등학교,13459.94,521.45
44130UQ155PS198706120080,고등학교,19388.46,557.39
44130UQ155PS199302230139,고등학교,14999.97,485.31
44130UQ155PS200101180237,고등학교,40995.39,876.18
44130UQ155PS200002120018,고등학교,15282.84,496.81
44130UQ155PS200406100001,기타공공직업훈련시설,3488.97,224.78
44130UQ155PS199412070028,청사(국가),3645.63,253.87
44130UQ155PS199901090019,청사(국가),13249.42,451.44
44130UQ155PS200002120017,청사(국가),2834.46,228.23
44130UQ155PS199412070029,청사(국가),1409.92,149.41
44130UQ155PS199109130005,청사(국가),642.2,106.5
44130UQ155PS199601130007,청사(국가),633.82,103.66
44130UQ155PS199606220006,청사(국가),514.69,89.99
44130UQ155PS202310230017,초등학교,16657.86546,526.2122504
44130UQ155PS199606220007,청사(국가),1599.61,162.37
44130UQ155PS202310110002,골프장,57234.45111,1048.51746
44130UQ155PS199901090018,청사(국가),1666.62,165.4
44130UQ155PS200101020108,대학,61683.38,1027.04
44130UQ155PS199211090002,기타문화시설,30129.03,811.53
44130UQ155PS200501200001,기타문화시설,54106.68,1101.64
44130UQ155PS198706120077,중학교,27434.98,683.55
44130UQ155PS198706120078,중학교,19710.89,556.45
44130UQ155PS199408170001,중학교,14224.95,472.3
44130UQ155PS199103220004,중학교,13093.97,453.77
44130UQ155PS198912260001,중학교,17100.01,515
44130UQ155PS199412070011,중학교,11959.11,433.75
44130UQ155PS199901090021,중학교,13623.11,455.48
44130UQ155PS198609000030,중학교,23280.84,649.35
44130UQ155PS200101180255,중학교,11972.3,433.12
44130UQ155PS200002120019,중학교,13168.96,459.82
44130UQ155PS200206220001,중학교,13223.03,481.49
44130UQ155PS202501020354,특수학교,3863.73171,335.0558585
44130UQ155PS202501020353,중학교,2774.250516,250.0287327
44130UQ155PS199302230144,종합운동장,495621.2644,3775.55708
44130UQ155PS202207210093,기타공공청사시설,329.9764,73.18001241
44130UQ155PS202204260061,기타사회복지시설,679.9109209,106.497945
44130UQ155PS200206220002,중학교,11825.5,434.96
44130UQ155PS200607310001,초등학교,12794.97,451.09
44130UQ155PS198105300001,초등학교,16086.87,519.17
44130UQ155PS199002270010,초등학교,16586.83,506.35
44130UQ155PS198706120092,초등학교,13489.02,467.82
44130UQ155PS199203270009,초등학교,13437.53,458.97
44130UQ155PS198706120068,초등학교,8117.43,402.18
44130UQ155PS199303060021,초등학교,15293.13,489.56
44130UQ155PS199109130006,초등학교,16075.27,508.45
44130UQ155PS199303060024,초등학교,15593.45,500.01
44130UQ155PS199907310019,초등학교,11831.05,429.44
44130UQ155PS200101180239,초등학교,18214.07,582.95
44130UQ155PS198105300003,초등학교,10932.91,415.61
44130UQ155PS200101180240,초등학교,12687.12,458.06
44130UQ155PS198609000027,초등학교,21396.2,626.41
44130UQ155PS198105300002,초등학교,18577.18,547.36
44130UQ155PS199811230001,초등학교,13222.77,459.1
44130UQ155PS199901090020,초등학교,13603.86,465.26
44130UQ155PS200002120020,초등학교,13232.15,456.58
44130UQ155PS200002120021,초등학교,13800.83,460.69
44130UQ155PS200407200005,초등학교,11632.02,435.07
44130UQ155PS200402200001,초등학교,11027.83,425.5
44130UQ155PS200501310001,초등학교,12024.19,452.77
44130UQ155PS200508100004,초등학교,12000.21,436.29
44130UQ155PS199506160021,유치원,499.99,88
44130UQ155PS199604250006,유치원,601.05,100.19
44130UQ155PS199203270008,청사(국가),709.35,124.57
44130UQ155PS199506160017,청사(국가),2138.91,196.54
44130UQ155PS200006290001,기타문화시설,31698.82,852.95
44130UQ155PS198706120065,초등학교,29329.76,674.03
44130UQ155PS199303060019,초등학교,12079.97,438.6
44130UQ155PS198706120069,초등학교,17037.87,518.63
44130UQ155PS200603300002,기타체육시설,111079,1299.9
44130UQ155PS199907090001,공공도서관,5691.94,378.27
44130UQ155PS200207060001,기타체육시설,1327253.69,5095.43
44130UQ155PS198706120074,초등학교,18396.97,540.24
44130UQ155PS198104160016,기타학교시설,61913.03,1039.11
44130UQ155PS199802230001,대학,111806.77,1577.95
44130UQ155PS200406100002,고등학교,20492.2,636.95
44130UQ155PS200812010827,초등학교,12129.54,474.66
44130UQ155PS200812010828,초등학교,13377.94,461.72
44130UQ155PS200506200004,기타체육시설,105401.98,1597.84
44130UQ155PS200812010831,중학교,23314.43,629.26
44130UQ155PS198706120072,초등학교,16599.91,519.23
44130UQ155PS200812010840,초등학교,16440.71,649.18
44130UQ155PS200812010842,중학교,24622.97,834.2
44130UQ155PS200812010843,초등학교,18716.04,629.52
44130UQ155PS200812010841,초등학교,12041.78,521.44
44130UQ155PS200812010848,초등학교,11580.99,470.27
44130UQ155PS200812010849,초등학교,14849.38,534.14
44130UQ155PS200812010850,초등학교,9769.81,432.83
44130UQ155PS200812010844,초등학교,10772.1,428.82
44130UQ155PS200812010835,초등학교,16684.83,491.35
44130UQ155PS200812010833,초등학교,12643.7,491.93
44130UQ155PS201610111125,청사(국가),4579.4,269.66
44130UQ155PS200206220003,고등학교,21641.05,582.53
44130UQ155PS201308120034,초등학교,13075.88,460.2
44130UQ155PS199205220007,기타학교시설,39414.04,905.72
44130UQ155PS200812010832,초등학교,11889.72,467.66
44130UQ155PS200812010839,고등학교,9022.92,409.29
44130UQ155PS200812010851,중학교,11537.7,429.97
44130UQ155PS199203270010,유치원,648.02,105.42
44130UQ155PS200812010910,기타연구시설,3919998.37,9340.73
44130UQ155PS198706120091,대학,118750.45,1726.95
44130UQ155PS200812010916,기타청소년수련시설,30951.29,691.86
44130UQ155PS200201240001,기타연구시설,244658.38,2716.69
44130UQ155PS200812010836,초등학교,5206,334.88
44130UQ155PS200506300001,초등학교,16923.61,558.58
44130UQ155PS200804100001,골프장,1004631.34,5120.48
44130UQ155PS200506200005,기타사회복지시설,17361.87,509.82
44130UQ155PS200101020106,대학,183897.95,2045.97
44130UQ155PS200508220025,청사(국가),991.51,128.62
44130UQ155PS200508220022,청사(국가),661.03,101.53
44130UQ155PS200508220021,중학교,12942,451.96
44130UQ155PS200508220023,청사(국가),1973.09,173.61
