grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection
C00062,204500.000,451000.000,205000.000,451500.000,204750.000,451250.000,500,center_in_cheonan
C00063,205000.000,451000.000,205500.000,451500.000,205250.000,451250.000,500,center_in_cheonan
C00064,205500.000,451000.000,206000.000,451500.000,205750.000,451250.000,500,center_in_cheonan
C00065,206000.000,451000.000,206500.000,451500.000,206250.000,451250.000,500,center_in_cheonan
C00066,206500.000,451000.000,207000.000,451500.000,206750.000,451250.000,500,center_in_cheonan
C00067,207000.000,451000.000,207500.000,451500.000,207250.000,451250.000,500,center_in_cheonan
C00068,207500.000,451000.000,208000.000,451500.000,207750.000,451250.000,500,center_in_cheonan
C00069,208000.000,451000.000,208500.000,451500.000,208250.000,451250.000,500,center_in_cheonan
C00070,208500.000,451000.000,209000.000,451500.000,208750.000,451250.000,500,center_in_cheonan
C00071,209000.000,451000.000,209500.000,451500.000,209250.000,451250.000,500,center_in_cheonan
C00072,209500.000,451000.000,210000.000,451500.000,209750.000,451250.000,500,center_in_cheonan
C00073,210000.000,451000.000,210500.000,451500.000,210250.000,451250.000,500,center_in_cheonan
C00074,210500.000,451000.000,211000.000,451500.000,210750.000,451250.000,500,center_in_cheonan
C00075,211000.000,451000.000,211500.000,451500.000,211250.000,451250.000,500,center_in_cheonan
C00076,211500.000,451000.000,212000.000,451500.000,211750.000,451250.000,500,center_in_cheonan
C00077,212000.000,451000.000,212500.000,451500.000,212250.000,451250.000,500,center_in_cheonan
C00078,212500.000,451000.000,213000.000,451500.000,212750.000,451250.000,500,center_in_cheonan
C00079,213000.000,451000.000,213500.000,451500.000,213250.000,451250.000,500,center_in_cheonan
C00080,213500.000,451000.000,214000.000,451500.000,213750.000,451250.000,500,center_in_cheonan
C00081,201000.000,451500.000,201500.000,452000.000,201250.000,451750.000,500,center_in_cheonan
C00082,201500.000,451500.000,202000.000,452000.000,201750.000,451750.000,500,center_in_cheonan
C00083,202000.000,451500.000,202500.000,452000.000,202250.000,451750.000,500,center_in_cheonan
C00084,202500.000,451500.000,203000.000,452000.000,202750.000,451750.000,500,center_in_cheonan
C00085,203000.000,451500.000,203500.000,452000.000,203250.000,451750.000,500,center_in_cheonan
C00086,203500.000,451500.000,204000.000,452000.000,203750.000,451750.000,500,center_in_cheonan
C00087,204000.000,451500.000,204500.000,452000.000,204250.000,451750.000,500,center_in_cheonan
C00088,204500.000,451500.000,205000.000,452000.000,204750.000,451750.000,500,center_in_cheonan
C00089,205000.000,451500.000,205500.000,452000.000,205250.000,451750.000,500,center_in_cheonan
C00090,205500.000,451500.000,206000.000,452000.000,205750.000,451750.000,500,center_in_cheonan
C00091,206000.000,451500.000,206500.000,452000.000,206250.000,451750.000,500,center_in_cheonan
C00092,206500.000,451500.000,207000.000,452000.000,206750.000,451750.000,500,center_in_cheonan
C00093,207000.000,451500.000,207500.000,452000.000,207250.000,451750.000,500,center_in_cheonan
C00094,207500.000,451500.000,208000.000,452000.000,207750.000,451750.000,500,center_in_cheonan
C00095,208000.000,451500.000,208500.000,452000.000,208250.000,451750.000,500,center_in_cheonan
C00096,208500.000,451500.000,209000.000,452000.000,208750.000,451750.000,500,center_in_cheonan
C00097,209000.000,451500.000,209500.000,452000.000,209250.000,451750.000,500,center_in_cheonan
C00098,209500.000,451500.000,210000.000,452000.000,209750.000,451750.000,500,center_in_cheonan
C00099,210000.000,451500.000,210500.000,452000.000,210250.000,451750.000,500,center_in_cheonan
C00100,210500.000,451500.000,211000.000,452000.000,210750.000,451750.000,500,center_in_cheonan
C00101,211000.000,451500.000,211500.000,452000.000,211250.000,451750.000,500,center_in_cheonan
C00102,211500.000,451500.000,212000.000,452000.000,211750.000,451750.000,500,center_in_cheonan
C00103,212000.000,451500.000,212500.000,452000.000,212250.000,451750.000,500,center_in_cheonan
C00104,212500.000,451500.000,213000.000,452000.000,212750.000,451750.000,500,center_in_cheonan
C00105,213000.000,451500.000,213500.000,452000.000,213250.000,451750.000,500,center_in_cheonan
C00106,213500.000,451500.000,214000.000,452000.000,213750.000,451750.000,500,center_in_cheonan
C00107,201500.000,452000.000,202000.000,452500.000,201750.000,452250.000,500,center_in_cheonan
C00108,202000.000,452000.000,202500.000,452500.000,202250.000,452250.000,500,center_in_cheonan
C00109,202500.000,452000.000,203000.000,452500.000,202750.000,452250.000,500,center_in_cheonan
C00110,203000.000,452000.000,203500.000,452500.000,203250.000,452250.000,500,center_in_cheonan
C00111,203500.000,452000.000,204000.000,452500.000,203750.000,452250.000,500,center_in_cheonan
C00112,204000.000,452000.000,204500.000,452500.000,204250.000,452250.000,500,center_in_cheonan
C00113,204500.000,452000.000,205000.000,452500.000,204750.000,452250.000,500,center_in_cheonan
C00114,205000.000,452000.000,205500.000,452500.000,205250.000,452250.000,500,center_in_cheonan
C00115,205500.000,452000.000,206000.000,452500.000,205750.000,452250.000,500,center_in_cheonan
C00116,206000.000,452000.000,206500.000,452500.000,206250.000,452250.000,500,center_in_cheonan
C00117,206500.000,452000.000,207000.000,452500.000,206750.000,452250.000,500,center_in_cheonan
C00118,207000.000,452000.000,207500.000,452500.000,207250.000,452250.000,500,center_in_cheonan
C00119,207500.000,452000.000,208000.000,452500.000,207750.000,452250.000,500,center_in_cheonan
C00120,208000.000,452000.000,208500.000,452500.000,208250.000,452250.000,500,center_in_cheonan
C00121,208500.000,452000.000,209000.000,452500.000,208750.000,452250.000,500,center_in_cheonan
