grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm
C00059,206250.0,452250.0,207000.0,453000.0,206625.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00060,207000.0,452250.0,207750.0,453000.0,207375.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00061,207750.0,452250.0,208500.0,453000.0,208125.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00062,208500.0,452250.0,209250.0,453000.0,208875.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00063,209250.0,452250.0,210000.0,453000.0,209625.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00064,210000.0,452250.0,210750.0,453000.0,210375.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00065,210750.0,452250.0,211500.0,453000.0,211125.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00066,211500.0,452250.0,212250.0,453000.0,211875.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00067,212250.0,452250.0,213000.0,453000.0,212625.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00068,213000.0,452250.0,213750.0,453000.0,213375.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00069,213750.0,452250.0,214500.0,453000.0,214125.0,452625.0,750,center_in_cheonan,34011320,광덕면
C00070,201750.0,453000.0,202500.0,453750.0,202125.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00071,202500.0,453000.0,203250.0,453750.0,202875.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00072,203250.0,453000.0,204000.0,453750.0,203625.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00073,204000.0,453000.0,204750.0,453750.0,204375.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00074,204750.0,453000.0,205500.0,453750.0,205125.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00075,205500.0,453000.0,206250.0,453750.0,205875.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00076,206250.0,453000.0,207000.0,453750.0,206625.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00077,207000.0,453000.0,207750.0,453750.0,207375.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00078,207750.0,453000.0,208500.0,453750.0,208125.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00079,208500.0,453000.0,209250.0,453750.0,208875.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00080,209250.0,453000.0,210000.0,453750.0,209625.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00081,210000.0,453000.0,210750.0,453750.0,210375.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00082,210750.0,453000.0,211500.0,453750.0,211125.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00083,211500.0,453000.0,212250.0,453750.0,211875.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00084,212250.0,453000.0,213000.0,453750.0,212625.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00085,213000.0,453000.0,213750.0,453750.0,213375.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00086,213750.0,453000.0,214500.0,453750.0,214125.0,453375.0,750,center_in_cheonan,34011320,광덕면
C00087,202500.0,453750.0,203250.0,454500.0,202875.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00088,203250.0,453750.0,204000.0,454500.0,203625.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00089,204000.0,453750.0,204750.0,454500.0,204375.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00090,204750.0,453750.0,205500.0,454500.0,205125.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00091,205500.0,453750.0,206250.0,454500.0,205875.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00092,206250.0,453750.0,207000.0,454500.0,206625.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00093,207000.0,453750.0,207750.0,454500.0,207375.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00094,207750.0,453750.0,208500.0,454500.0,208125.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00095,208500.0,453750.0,209250.0,454500.0,208875.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00096,209250.0,453750.0,210000.0,454500.0,209625.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00097,210000.0,453750.0,210750.0,454500.0,210375.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00098,210750.0,453750.0,211500.0,454500.0,211125.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00099,211500.0,453750.0,212250.0,454500.0,211875.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00100,212250.0,453750.0,213000.0,454500.0,212625.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00101,213000.0,453750.0,213750.0,454500.0,213375.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00102,213750.0,453750.0,214500.0,454500.0,214125.0,454125.0,750,center_in_cheonan,34011320,광덕면
C00103,203250.0,454500.0,204000.0,455250.0,203625.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00104,204000.0,454500.0,204750.0,455250.0,204375.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00105,204750.0,454500.0,205500.0,455250.0,205125.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00106,205500.0,454500.0,206250.0,455250.0,205875.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00107,206250.0,454500.0,207000.0,455250.0,206625.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00108,207000.0,454500.0,207750.0,455250.0,207375.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00109,207750.0,454500.0,208500.0,455250.0,208125.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00110,208500.0,454500.0,209250.0,455250.0,208875.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00111,209250.0,454500.0,210000.0,455250.0,209625.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00112,210000.0,454500.0,210750.0,455250.0,210375.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00113,210750.0,454500.0,211500.0,455250.0,211125.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00114,211500.0,454500.0,212250.0,455250.0,211875.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00115,212250.0,454500.0,213000.0,455250.0,212625.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00116,213750.0,454500.0,214500.0,455250.0,214125.0,454875.0,750,center_in_cheonan,34011320,광덕면
C00117,225000.0,454500.0,225750.0,455250.0,225375.0,454875.0,750,center_in_cheonan,34011350,수신면
C00118,204000.0,455250.0,204750.0,456000.0,204375.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00119,204750.0,455250.0,205500.0,456000.0,205125.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00120,205500.0,455250.0,206250.0,456000.0,205875.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00121,206250.0,455250.0,207000.0,456000.0,206625.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00122,207000.0,455250.0,207750.0,456000.0,207375.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00123,207750.0,455250.0,208500.0,456000.0,208125.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00124,208500.0,455250.0,209250.0,456000.0,208875.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00125,209250.0,455250.0,210000.0,456000.0,209625.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00126,210000.0,455250.0,210750.0,456000.0,210375.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00127,210750.0,455250.0,211500.0,456000.0,211125.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00128,211500.0,455250.0,212250.0,456000.0,211875.0,455625.0,750,center_in_cheonan,34011320,광덕면
C00129,222000.0,455250.0,222750.0,456000.0,222375.0,455625.0,750,center_in_cheonan,34011340,성남면
C00130,222750.0,455250.0,223500.0,456000.0,223125.0,455625.0,750,center_in_cheonan,34011340,성남면
C00131,223500.0,455250.0,224250.0,456000.0,223875.0,455625.0,750,center_in_cheonan,34011340,성남면
C00132,224250.0,455250.0,225000.0,456000.0,224625.0,455625.0,750,center_in_cheonan,34011350,수신면
C00133,225000.0,455250.0,225750.0,456000.0,225375.0,455625.0,750,center_in_cheonan,34011350,수신면
C00134,225750.0,455250.0,226500.0,456000.0,226125.0,455625.0,750,center_in_cheonan,34011350,수신면
C00135,204750.0,456000.0,205500.0,456750.0,205125.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00136,205500.0,456000.0,206250.0,456750.0,205875.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00137,206250.0,456000.0,207000.0,456750.0,206625.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00138,207000.0,456000.0,207750.0,456750.0,207375.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00139,207750.0,456000.0,208500.0,456750.0,208125.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00140,208500.0,456000.0,209250.0,456750.0,208875.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00141,209250.0,456000.0,210000.0,456750.0,209625.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00142,210000.0,456000.0,210750.0,456750.0,210375.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00143,210750.0,456000.0,211500.0,456750.0,211125.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00144,211500.0,456000.0,212250.0,456750.0,211875.0,456375.0,750,center_in_cheonan,34011320,광덕면
C00145,221250.0,456000.0,222000.0,456750.0,221625.0,456375.0,750,center_in_cheonan,34011340,성남면
C00146,222000.0,456000.0,222750.0,456750.0,222375.0,456375.0,750,center_in_cheonan,34011340,성남면
C00147,222750.0,456000.0,223500.0,456750.0,223125.0,456375.0,750,center_in_cheonan,34011340,성남면
C00148,223500.0,456000.0,224250.0,456750.0,223875.0,456375.0,750,center_in_cheonan,34011350,수신면
C00149,224250.0,456000.0,225000.0,456750.0,224625.0,456375.0,750,center_in_cheonan,34011350,수신면
C00150,225000.0,456000.0,225750.0,456750.0,225375.0,456375.0,750,center_in_cheonan,34011350,수신면
C00151,225750.0,456000.0,226500.0,456750.0,226125.0,456375.0,750,center_in_cheonan,34011350,수신면
C00152,226500.0,456000.0,227250.0,456750.0,226875.0,456375.0,750,center_in_cheonan,34011350,수신면
C00153,207000.0,456750.0,207750.0,457500.0,207375.0,457125.0,750,center_in_cheonan,34011320,광덕면
C00154,207750.0,456750.0,208500.0,457500.0,208125.0,457125.0,750,center_in_cheonan,34011320,광덕면
