source_id,file_name,encoding,status,rows,valid_coordinate_rows,matched_grid_rows,unmatched_grid_rows,facility_rows,unique_addresses,geocoded_ok_addresses,geocoded_facility_rows
commerce,commerce_cheonan_202603.csv,utf-8-sig,processed,36185.0,36185.0,36106,79,,,,
hospital,hospital_cheonan_202603.csv,utf-8-sig,processed,855.0,855.0,853,2,,,,
pharmacy,pharmacy_cheonan_202603.csv,utf-8-sig,processed,312.0,312.0,311,1,,,,
address_sources,,,processed,,,1200,12,1212.0,993.0,987.0,1206.0
