cluster,grid_count,population_sum,population_share,representative_adm_by_grid,top5_adm_by_grid,representative_adm_by_population,top5_adm_by_population,max_prob_mean,uncertainty_mean,entropy_norm_mean,prob_margin_mean,population_demand_index_mean,life_welfare_index_mean,commerce_index_mean,medical_index_mean,education_index_mean,leisure_index_mean,commerce_facilities_sum,commerce_per_1000,medical_facilities_sum,medical_per_1000,education_facilities_sum,education_per_1000,life_welfare_facilities_sum,life_welfare_per_1000,leisure_facilities_sum,leisure_per_1000
1,85,328994.0,0.49409033157219706,부성2동(9),부성2동(9); 청룡동(8); 성정2동(6); 봉명동(6); 백석동(5),"부성2동(51,355)","부성2동(51,355); 부성1동(27,189); 쌍용2동(26,745); 청룡동(26,232); 불당2동(25,318)",0.9648313070664107,0.03516869293358922,0.06620327671180955,0.9296725273220939,2.526220676523234,2.2901964413004783,3.0739138605865426,2.8028093653261923,3.3105612302131973,3.2099292854799066,23093.0,70.1927694729995,978.0,2.9726985902478464,2044.0,6.212879262235785,368.0,1.118561432731296,1372.0,4.170288819856897
2,122,169146.0,0.25402713491465145,목천읍(12),목천읍(12); 신안동(10); 청룡동(9); 직산읍(8); 성환읍(8),"부성1동(20,237)","부성1동(20,237); 백석동(17,097); 불당1동(17,022); 청룡동(16,708); 불당2동(11,688)",0.933577318111613,0.06642268188838676,0.11938518009743618,0.87038921611966,1.5291993391568306,0.5655125565041982,1.1696804021894402,0.6129404443278019,1.0926549156636594,0.7099882877873795,6886.0,40.710392205550235,186.0,1.0996417296300236,619.0,3.6595603797902405,145.0,0.8572475849266314,315.0,1.862296477599234
3,358,123607.0,0.18563567607507908,목천읍(39),목천읍(39); 성거읍(30); 입장면(26); 성환읍(24); 직산읍(24),"청룡동(15,991)","청룡동(15,991); 신방동(14,944); 신안동(11,961); 성거읍(11,895); 성환읍(9,917)",0.9973674612896964,0.0026325387103036248,0.006559413465660224,0.9948332240645898,0.7711696070582095,0.15095650461086677,0.3141799126678032,-0.13348295533506102,0.1685001842322163,0.28069901408169873,4034.0,32.635692153357006,0.0,0.0,309.0,2.499858422257639,236.0,1.9092769826951548,384.0,3.1066201752327944
4,1987,44111.0,0.06624685743807238,광덕면(309),광덕면(309); 북면(209); 목천읍(205); 병천면(199); 성환읍(197),"성환읍(6,416)","성환읍(6,416); 목천읍(5,288); 성거읍(4,171); 풍세면(3,767); 직산읍(3,693)",0.9997583044810897,0.0002416955189102322,0.000327374915809262,0.9995166591977528,-0.3409007529987153,-0.15989011477339865,-0.25991952488779135,-0.133482955335061,-0.23906626584510396,-0.2314810304061905,2093.0,47.448482237990525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
